Name,Tenacity,Diaphaneity (Transparency),Colour,Hardness(Mohs),Lustre,Streak,Cleavage Quality,Cleavage Direction,Cleavage Angle,Fracture,Morphology,Pleochroism,Type,Crystal System,Surface Relief,Formula,Density
Forsterite,Brittle,"Transparent,Translucent","Green,yellow,white",7,Vitreous,White,Indistinct,indistinct,indistinct,Conchoidal,tabular,none,Biaxial (+),Orthorhombic,High,Mg2SiO4,3.275 g/cm3 (Measured)  3.271 g/cm3 (Calculated)
Fayalite,Brittle,"Transparent,Translucent","yellow,yellow,brown",7,"Vitreous,Greasy",colourless,Indistinct,indistinct,indistinct,Conchoidal,tabular,none,biaxial (-),Orthorhombic,Very High,Fe22+SiO4,4.392
Biotite,"brittle,flexible,elastic","Transparent,Translucent,Opaque","brown,brown,brown,yellow,white","2.5,3","Vitreous,Pearly",White,very good,1 direction,indistinct,Micaceous,"massive,Platy,sheets",Strong,Biaxial (-),Monoclinic,high,"K(Mg,Fe)3(AlSi",
Chlorite,flexible,"Transparent,Translucent","green,black,white,yellow,brown,pink,purple","2,2.5","vitreous,pearly,dull",white,very good,1 direction,indistinct,uneven,"tabular,prismatic,micaceous",none,,Monoclinic,,"(Mg,Fe)3(Si,Al)4O10",2.6 - 3.3 g/cm3 (Measured)  
Sphalerite,Brittle,"Transparent,Translucent","Yellow,brown,black,brown,colourless,green","3.5,4","Adamantine,Resinous","yellow,brown",Indistinct,indistinct,indistinct,Conchoidal,granular,none,Isotropic,Isometric,Moderate,"(OH)2·(Mg,Fe)3(OH)6",3.9 - 4.1 g/cm3 (Measured)  4.096 g/cm3 (Calculated)
Hematite,Brittle,Opaque,"gray,black,red","5,5.5,6,6.5","Metallic,Sub-Metallic,Dull,Earthy","red,brown",Indistinct,indistinct,indistinct,"Irregular,Uneven,Sub-Conchoidal","tabular,prismatic,rhombohedral,massive,granular,nodular,oolitic",Weak,Uniaxial (-),Trigonal,Very High,Fe2O3,5.26 g/cm3 (Measured)  5.255 g/cm3 (Calculated)
Limonite,brittle,Opaque,"brown,brown,brown","4,4.5,5,5.5",Earthy,"brown,red",Indistinct,indistinct,indistinct,uneven,massive,none,,,,"(Fe,O,OH,H2O)",2.7 - 4.3 g/cm3 (Measured)  
Galena,Brittle,Opaque,gray,2.5,"Metallic,Dull",gray,very good,3 directions,90 degrees,Sub-Conchoidal,"Cubic,octahedral,dodecahedral",none,Isotropic,Isometric,,PbS,7.58 g/cm3 (Measured)  7.57 g/cm3 (Calculated)
Magnetite,Brittle,Opaque,black,"5.5,6.5","Metallic,Sub-Metallic",Black,Indistinct,indistinct,indistinct,"Irregular,Uneven","octahedral,decahedral,massive,granular",none,Isotropic,Isometric,Very High,Fe2+Fe23+O4,5.175 g/cm3 (Measured)  5.2 g/cm3 (Calculated)
Graphite,Flexible,Opaque,"black,gray","1,1.5,2",Sub-Metallic,"Black,gray",Indistinct,indistinct,indistinct,Micaceous,"massive,tabular",Strong,Uniaxial (-),Hexagonal,,C,2.09 - 2.23 g/cm3 (Measured)  2.26 g/cm3 (Calculated)
Chalcopyrite,Brittle,Opaque,yellow,"3.5,4",Metallic,black,Indistinct,indistinct,indistinct,"Irregular,Uneven","tetrahedral,massive",none,,Tetragonal,,Cu1+Fe3+S2,4.1 - 4.3 g/cm3 (Measured)  4.18 g/cm3 (Calculated)
Pyrite,Brittle,Opaque,yellow,"6,6.5",Metallic,black,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","cubic,pyritohedral,octahedral,massive,granular,globular ",none,Isotropic,Isometric,,FeS2,4.8 - 5 g/cm3 (Measured)  5.01 g/cm3 (Calculated)
Nepheline,Brittle,"Transparent,Opaque","White,gray","5.5,6","Vitreous,Greasy",white,Indistinct,indistinct,indistinct,Sub-Conchoidal,"prismatic,granular,massive",none,uniaxial (-),Hexagonal,Low,NaAlSiO4,2.55 - 2.66 g/cm3 (Measured)  2.64 g/cm3 (Calculated)
Leucite,Brittle,"Transparent,Translucent","White,gray","5.5,6",Vitreous,white,Indistinct,indistinct,indistinct,Conchoidal,cubic,none,uniaxial (+),Tetragonal,Low,K(Si2Al)O6,2.45 - 2.5 g/cm3 (Measured)  2.46 g/cm3 (Calculated)
Pyrophyllite,Flexible,"Translucent,Opaque","White,gray,blue,green,yellow,green","1.5,2","Pearly,Dull",white,good,1 direction,indistinct,conchoidal,"Lamellar,granular,massive",none,Biaxial (-),Triclinic,Moderate,Al2Si4O10(OH)2,2.65 - 2.9 g/cm3 (Measured)  2.81 g/cm3 (Calculated)
Serpentine,"brittle,flexible,elastic",translucent,"gray,green","3,4,5,6",silky,white,good,1 direction,indistinct,fibrous,acicular,none,"Biaxial (-),Biaxial (+)",Monoclinic,,"D3[Si2O5](OH)4   D= Mg,Fe,Ni,Mn,Al,Zn",2.53
